Search Name,Room Nights,Room Revenue,Avg_Rate
MIRACLE TOURISM LLC,151,55129.92,365.09880794701985
DESERT GATE TOURISM,71,12957.23,182.4961971830986
AL KHALIDIAH TOURISM,62,20115.21,324.43887096774193
ARABIAN ORYX TRAVEL & TOURISM L.L.C.,49,15270.63,311.64551020408163
VOYAGE TOURS,45,19188.12,426.4026666666666
SECRET ESCAPES,40,16419.97,410.49925
DUBAI LINK TOURS L.L.C.,37,8876.79,239.91324324324327
FALCON EYES TRAVEL & TOURISM,35,15364.49,438.98542857142854
ELEVATE TOURISM L.L.C.,33,7705.91,233.51242424242423
FUN AND SUN TOURISM LLC,25,8459.14,338.3656
WEBBEDS,16,8518.119999999999,532.3824999999999
TBO HOLIDAYS,14,4678.55,334.1821428571429
TOURISM 365,12,11541.57,961.7975
HOLIDAY MOMENTS,10,4586.5,458.65
SATGURU TRAVEL AND TOURISM (L.L.C.) (TOP,9,6025.47,669.4966666666667
JOYCE TOURS,7,6191.5,884.5
DESERT ADVENTURES TOURISM L.L.C.,7,3943.0,563.2857142857143
ANEX TOURISM WORLDWIDE DMCC,6,1185.54,197.59
DAKKAK TOURS INTERNATIONAL,6,4628.31,771.3850000000001
HIGH WAY TRAVEL & TOURISM LLC,6,916.02,152.67
ALMOSAFER INTERNATIONAL TRAVEL AND TOURI,3,1023.69,341.23
RUSTAR TOURISM,3,2047.53,682.51
NIRVANA OVER THE WORLD (N.O.W.) L.L.C.,1,188.58,188.58
